"id","word","strongs","usage_count"
789,"will","2307",62
790,"after","2596",62
791,"time","03117",61
792,"went","0935",61
793,"spoil","07998",61
794,"wings","03671",61
795,"abominations","08441",61
796,"baal","01168",61
797,"zedekiah","06667",61
798,"trust","0982",61
799,"water","5204",61
800,"began","756",61
801,"only","3440",61
802,"down","2597",61
803,"served","05647",60
804,"away","03947",60
805,"strength","05797",60
806,"lot","01486",60
807,"forsaken","05800",60
808,"go","4198",60
809,"up","305",60
810,"came","4334",60
811,"power","1849",60
812,"multitude","3793",60
813,"saints","40",60
814,"wickedness","07451",59
815,"generation","01755",59
816,"covered","03680",59
817,"upward","04605",59
818,"answer","06030",59
819,"knoweth","03045",59
820,"shechem","07927",59
821,"arm","02220",59
822,"incense","06999",59
823,"bashan","01316",59
824,"multitude","01995",59
825,"chaldeans","03778",59
826,"jerusalem","2414",59
827,"for","4012",59
828,"another","243",59
829,"according","2596",59
830,"must","1163",59
831,"strength","03581",58
832,"souls","05315",58
833,"through","05674",58
834,"near","07126",58
835,"away","07971",58
836,"fought","03898",58
837,"poor","06041",58
838,"jehu","03058",58
839,"elisha","0477",58
840,"mordecai","04782",58
841,"night","3571",58
842,"where","3699",58
843,"elders","4245",58
844,"men","01368",57
845,"pass","05674",57
846,"gathered","0622",57
847,"statutes","02708",57
848,"host","04264",57
849,"delivered","05337",57
850,"devour","0398",57
851,"slew","05221",57
852,"rock","06697",57
853,"incense","07004",57
854,"tribe","07626",57
855,"jericho","03405",57
856,"balaam","01109",57
857,"behold","07200",57
858,"asa","0609",57
859,"job","0347",57
860,"psalm","04210",57
861,"david","1138",57
862,"one","3391",57
863,"head","2776",57
864,"hearts","2588",57
865,"apostles","652",57
866,"receive","2983",57
867,"be","1511",57
868,"seventy","07657",56
869,"slew","02026",56
870,"near","05066",56
871,"wept","01058",56
872,"away","07725",56
873,"full","04392",56
874,"lion","0738",56
875,"horsemen","06571",56
876,"table","07979",56
877,"man","01397",56
878,"god","0433",56
879,"syrians","0758",56
880,"great","4183",56
881,"baptized","907",56
882,"beloved","27",56
883,"ship","4143",56
884,"against","2596",56
885,"this","5129",56
886,"by","1537",56
887,"this","5127",56
888,"another","0312",55
889,"bow","07198",55
890,"canaanites","03669",55
891,"ass","02543",55
892,"prince","05387",55
